,id_list,songname,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clean_songname,clean_artist
833,0jUY7AsXzikAsjBt6KNTLZ,Running Sounds Better With You,Sideview,0.774,0.619,1,-9.207,1,0.219,0.00516,0.079,0.836,0.442,125.013,runningsoundsbetterwithyou,sideview
834,3h6wZSm4GW0nO9fSEg1jf3,Et c'est parti... (feat. Smartzee),Nâdiya,0.761,0.972,10,-1.185,0,0.27,0.482,0.0,0.236,0.466,97.965,etc'estparti...(feat.smartzee),nâdiya
835,4oI5oslRR58DD6yISuQ0Gz,Push The Feeling On - The Dub Of Doom,Nightcrawlers,0.801,0.54,6,-13.317,0,0.0564,0.00162,0.0778,0.0445,0.736,122.014,pushthefeelingon-thedubofdoom,nightcrawlers
836,5yQHRt2jsjQdj0WNASwvKK,La Colegiala (feat. Jody Bernal),The Boy Next Door,0.857,0.868,5,-1.412,1,0.113,0.00755,0.000258,0.0648,0.802,107.985,lacolegiala(feat.jodybernal),theboynextdoor
837,6FoayFn7vcZvScTZ67HuZK,Wêr Bisto,Twarres,0.52,0.323,2,-10.534,1,0.0243,0.325,0.0,0.0938,0.178,87.972,wêrbisto,twarres
838,5FJlVqsN2jQBu8uRpy3GqG,Millionaire,Kelis,0.68,0.847,11,-6.636,1,0.108,0.0217,0.0,0.0374,0.75,176.051,millionaire,kelis
839,0TN9m8rp3ZuNi4JwCKSans,U Don't Know Me (feat. Duane Harden),Armand Van Helden,0.742,0.756,10,-6.197,1,0.0825,0.0213,0.0227,0.0553,0.81,129.963,udon'tknowme(feat.duaneharden),armandvanhelden
840,0dc6CJ6BsiKxyPvW4yABLo,Free - Mood II Swing Radio Edit,Ultra Naté,0.755,0.914,8,-6.096,1,0.0371,0.00389,0.000161,0.0371,0.736,124.97,free-moodiiswingradioedit,ultranaté
841,6Ss1QOGzn0iG8hrRRSGrr9,It Just Won't Do - Radio Edit,Tim Deluxe,0.678,0.936,5,-4.876,0,0.0373,0.00166,0.457,0.376,0.877,129.996,itjustwon'tdo-radioedit,timdeluxe
842,4UfupbARPxljVkBmuZlJnY,Starlight - Radio Edit,The Supermen Lovers,0.739,0.679,0,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487,starlight-radioedit,thesupermenlovers
843,6M5moMxk4EmYc61DpmpWe5,Tell Me What It Takes,Soulsister,0.653,0.954,11,-6.144,0,0.0377,0.0522,1.06e-06,0.248,0.915,135.962,tellmewhatittakes,soulsister
844,5OudRrJ9zTAkE3R277tftm,Feel What You Want,Kristine W,0.888,0.759,9,-5.345,0,0.0581,0.0411,4.15e-06,0.0824,0.574,126.022,feelwhatyouwant,kristinew
845,08fMRujpKhEDTanKN9l2ud,Another Chance,Roger Sanchez,0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993,anotherchance,rogersanchez
846,4CTxVKWwbAkHK7gZ2vmpqg,Bouger Bouger,Magic System,0.817,0.913,1,-4.255,1,0.247,0.11,0.0,0.468,0.935,128.023,bougerbouger,magicsystem
847,2DyzYki95bDbkVNczAcQtz,Look Right Through - MK Vocal Edit,Storm Queen,0.834,0.819,0,-7.989,0,0.0841,0.00212,0.00306,0.279,0.513,119.99,lookrightthrough-mkvocaledit,stormqueen
848,4KtzrgVnGCIOW0S1Lo2mwD,Flawless - Radio Edit,The Ones,0.721,0.935,7,-6.691,1,0.111,0.0102,0.748,0.212,0.878,125.068,flawless-radioedit,theones
849,4t0UsYzmmmZRMTWn77jiGF,Show Me Love,Robin S,0.811,0.833,5,-4.259,1,0.153,0.014,2.06e-05,0.0769,0.567,120.258,showmelove,robins
850,3IIsoRI7huCtWV0z9dezxO,Tell Me Why,Various Artists,0.555,0.909,6,-7.484,0,0.0773,0.00241,0.000114,0.229,0.653,128.97,tellmewhy,variousartists
851,596oR4DMTxDoX7kVNd1PVa,E Samba,Junior Jack,0.636,0.963,7,-7.309,1,0.0636,0.00342,0.194,0.113,0.766,124.971,esamba,juniorjack
852,0F2BxpbxH8Yc3pLub48hrb,Pjanoo - Radio Edit,Eric Prydz,0.605,0.874,7,-4.949,0,0.0295,0.000563,0.812,0.112,0.836,125.99,pjanoo-radioedit,ericprydz
853,1Fka6XCbSxs4ElXQOe28xf,Sun Is Shining - De Luxe Edit,Funkstar De Luxe,0.706,0.961,4,-3.609,0,0.057,0.000946,0.0653,0.117,0.928,130.027,sunisshining-deluxeedit,funkstardeluxe
854,6P3TrUT5OBuyrBYGrHo525,"World, Hold On",Bob Sinclair,0.734,0.941,8,-2.549,0,0.0965,0.0548,2.24e-05,0.187,0.624,127.002,"world,holdon",bobsinclair
855,2DXhtUSY5E0kPC1qXMTLgm,Your Body (Radio Edit),Tom Novy,0.842,0.787,0,-7.664,1,0.0563,0.0263,0.0529,0.0791,0.939,128.004,yourbody(radioedit),tomnovy
856,1CgbwsrNDlFrRuk2ebQ7zr,9Pm (Till I Come),ATB,0.672,0.941,9,-6.427,0,0.0494,0.0276,0.926,0.149,0.754,130.218,9pm(tillicome),atb
857,3nUOnATHktg7VW5TtWeJnd,My Feeling (Daddy'S Prime Time Edit),Junior Jack,0.7,0.849,11,-6.556,0,0.129,0.00598,0.0156,0.286,0.455,130.989,myfeeling(daddy'sprimetimeedit),juniorjack
858,0U1xfeO9RRLCvQsIyt8tyw,Put Your Hands Up For Detroit - Club Mix,Fedde Le Grand,0.922,0.943,1,-5.531,1,0.204,0.00472,0.843,0.0537,0.255,128.029,putyourhandsupfordetroit-clubmix,feddelegrand
859,6ynDLZeJjR2XitUKhS7KKW,Lady (Hear Me Tonight),Modjo,0.734,0.908,6,-5.144,1,0.0654,0.00499,0.000428,0.0372,0.839,126.028,lady(hearmetonight),modjo
860,0pMUR7Uvp6vxlbG0qBFvgM,Better Off Alone,Alice Deejay,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,betteroffalone,alicedeejay
861,4LjfIjS8iweFCPdKxLnEoV,Let Me Think About It,Ida Corr,0.762,0.754,0,-3.425,0,0.046,0.00022,0.0665,0.146,0.715,129.026,letmethinkaboutit,idacorr
862,3pgainA2dH9c7e8JVYGRCN,Ride on Time,Black Box,0.648,0.858,9,-6.58,0,0.0323,0.00128,0.556,0.0535,0.62,119.031,rideontime,blackbox
863,7pGboneNRAZ5zwT7M3WayC,Destination Calabria - UK Radio Edit,Alex Gaudino,0.626,0.933,9,-7.681,1,0.0516,0.000165,0.00621,0.0636,0.291,128.078,destinationcalabria-ukradioedit,alexgaudino
864,4HVGC52IogHANcKFA0QYiT,Yeah Yeah - D Ramirez Vocal Radio Edit,Bodyrox,0.778,0.618,0,-7.667,1,0.0827,0.069,0.0,0.362,0.693,126.065,yeahyeah-dramirezvocalradioedit,bodyrox
865,7pRDFBYPmUWBFnpwDhzqGm,Professional Widow - Armand's Star Trunk Funk Mix,Tori Amos,0.727,0.969,7,-4.493,1,0.0419,0.00945,0.0017,0.364,0.737,128.05,professionalwidow-armand'sstartrunkfunkmix,toriamos
866,3aQz0z86zrKjd1mcZlonxE,Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,0.498,0.862,7,-6.02,0,0.0589,0.000313,0.00941,0.352,0.47,128.034,infinity2008-klaasvocaledit,gurujoshproject
